"All test cases below should be initiated with the following initial conditions:
- CompleteFTP has been successfully installed
- Ensure all settings of CompleteFTP are defaults 
- CompleteFTP service is running
- CompleteFTP Manager is launched ",,,,,,,,
Test case ID,Test objective,Precondition,Steps,Test data,Expected result,Actual result,Pass/Fail/Not executed/Suspended,Comments
CFTP.FILEMANAGER.SHARE.001,Verify changing file share without password to share with password,- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Set Password"" in the option list",,"""Set Password"" form appears",,,
,,,"Enter the valid password into ""Password"" field",,,,,
,,,Click on OK button,,"The toast message will be shown in the top right of the page:""The file Filename is now shared with password.""",,,
,,,Check the Status of the selected file,,The Status is Password protected,,,
CFTP.FILEMANAGER.SHARE.002,Verify changing file share without password to share with password with invalid Password,- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Set Password"" in the option list",,"""Set Password"" form appears",,,
,,,"Enter the invalid password into ""Password"" field with password is less than 4 characters",,,,,
,,,Click on OK button,,"Error message shows:""Password must be at least 4 characters and may not start or end with a space""",,,
,,,Click on OK button,,"""Set Password"" form appears again",,,
,,,Click on the Cancel button,,"""Set Password"" form is close and the status of the file is still public",,,
CFTP.FILEMANAGER.SHARE.003,Verify changing file share without password to share with password with invalid Password,- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Set Password"" in the option list",,"""Set Password"" form appears",,,
,,,"Enter the invalid password into ""Password"" field with password is less than 4 characters",,,,,
,,,Click on OK button,,"Error message shows:""Password must be at least 4 characters and may not start or end with a space""",,,
,,,Click on OK button,,"""Set Password"" form appears again",,,
,,,"Enter the valid password into ""Password"" field",,"""Set Password"" form is close and the status of the file is still public",,,
,,,Click on OK button,,"The toast message will be shown in the top right of the page:""The file Filename is now shared with password.""",,,
,,,Check the Status of the selected file,,The Status is Password protected,,,
CFTP.FILEMANAGER.SHARE.004,Verify changing file share without password to share with password with entering no Password,- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Set Password"" in the option list",,"""Set Password"" form appears",,,
,,,Click on OK button,,"An Error is shown: ""Password cannot be empty""",,,
,,,Click on OK button,,"""Set Password"" form appears again",,,
,,,Click on the Cancel button,,"""Set Password"" form is close and the status of the file is still public",,,
CFTP.FILEMANAGER.SHARE.005,Verify CANCEL changing file share without password to share with password - Files are shown in the list view,- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Set Password"" in the option list",,"""Set Password"" form appears",,,
,,,Click on the Cancel button,,"""Set Password"" form is close and the status of the file is still public",,,
CFTP.FILEMANAGER.SHARE.006,"Verify Stopping sharing for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Stop Sharing"" in the option list",,"""Stop sharing"" form appears ",,,
,,,Click on the Ok button,,"The toast message will be shown in the top right of the page:""The files are no longer shared""",,,
,,,Check the Status of the selected file,,The Status is Stopped,,,
CFTP.FILEMANAGER.SHARE.007,"Verify canceling Stopping sharing for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Stop Sharing"" in the option list",,"""Stop sharing"" form appears ",,,
,,,Click on CANCEL button,,"""Stop sharing"" form closes. ",,,
,,,Check the Status of the selected file,,The Status is Public,,,
CFTP.FILEMANAGER.SHARE.008,"Verify ""Copy Link"" for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Copy Link"" in the option list",,"""Copy Link"" form appears ",,,
,,,Click on the OK button,,,,,
,,,Open a new tab on the browser and paste the copied link,,"The URL is pasted successfully, and the file is able to be download",,,
CFTP.FILEMANAGER.SHARE.009,"Verify ""Change Expiry"" for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Expiry"" in the option list",,"""Change Expiry"" form appears ",,,
,,,Enter the Date for expiring,,,,,
,,,Click on the OK button,,The new Expiry date is shown for the file ,,,
CFTP.FILEMANAGER.SHARE.010,"Verify canceling for ""Change Expiry"" for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Expiry"" in the option list",,"""Change Expiry"" form appears ",,,
,,,Enter the Date for expiring,,,,,
,,,Click on the CANCEL button,,The old Expiry date is shown for the file ,,,
CFTP.FILEMANAGER.SHARE.011,"Verify deleting for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.011,"Verify canceling deleting for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the CANCEL button,,The file is still in the list,,,
CFTP.FILEMANAGER.SHARE.012,"Verify ""Copy Link"" for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,, 
,,,"Select ""Copy Link"" in the option list",,"""Copy Link"" form appears ",,,
,,,Click on the OK button,,,,,
,,,Open a new tab on the browser and paste the copied link,,"The URL is pasted successfully, and the file is able to be download with password",,,
