TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CFTP_FILELIST_TC_001,File List Actions,Verify that the file can be opened,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Click to the file which is uploaded to select the file
2. Right click to show the option list and select Open",N/A,2. The file is openned,High
CFTP_FILELIST_TC_002,File List Actions,Verify that the option list is opened by double click,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,1. Double click on the uploaded file,N/A,1. The option list is opened,High
CFTP_FILELIST_TC_003,File List Actions,Verify downloading the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Download""",N/A,"1. ""Option list"" appears
2. File is downloaded",High
CFTP_FILELIST_TC_004,File List Actions,Verify renaming the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Rename""
3. Enter the new name for uploaded file
4. Click on RENAME button",New name: renamed_file_20260707.txt,"1. ""Option list"" appears
2. ""Rename"" form appears with the editable name
4. New name of file is saved and close the form",High
CFTP_FILELIST_TC_005,File List Actions,Verify cancel renaming the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Rename""
3. Enter the new name for uploaded file
4. Click on CANCEL button",New name: renamed_file_20260707.txt,"1. ""Option list"" appears
2. ""Rename"" form appears with the editable name
4. Closes the form without saving new name",Medium
CFTP_FILELIST_TC_006,File List Actions,Verify moving the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Move""
3. Click on Change button to select the new path for file
4. Select the new path and Click on SELECT THIS
5. Click on MOVE button",N/A,"1. ""Option list"" appears
2. ""Move"" form appears.
3. ""Select the destination folder"" form appears with new path for selecting
4. New path is saved in Destination
5. The file is moved to new folder",High
CFTP_FILELIST_TC_007,File List Actions,Verify canceling moving the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Move""
3. Click on Change button to select the new path for file
4. Select the new path and Click on SELECT THIS
5. Click on CANCEL button",N/A,"1. ""Option list"" appears
2. ""Move"" form appears.
3. ""Select the destination folder"" form appears with new path for selecting
4. New path is saved in Destination
5. The form closes and the file is not moved to the new path",Medium
CFTP_FILELIST_TC_008,File List Actions,Verify Copy the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Copy""
3. Click on Change button to select the new path for file
4. Select the new path and Click on SELECT THIS
5. Click on COPY button",N/A,"1. ""Option list"" appears
2. ""Copy"" form appears.
3. ""Select the destination folder"" form appears with new path for selecting
4. New path is saved in Destination
5. The file is copied to new folder",High
CFTP_FILELIST_TC_009,File List Actions,Verify Cancel Copy the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Copy""
3. Click on Change button to select the new path for file
4. Select the new path and Click on SELECT THIS
5. Click on CANCEL button",N/A,"1. ""Option list"" appears
2. ""Copy"" form appears.
3. ""Select the destination folder"" form appears with new path for selecting
4. New path is saved in Destination
5. The file is not copied to new folder",Medium
CFTP_FILELIST_TC_010,File List Actions,Verify editing the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Edit""
3. Edit the content of uploaded file-> Click on SAVE button",N/A,"1. ""Option list"" appears
2. ""Edit file"" form appears with the editable content
3. The file is saved with new content",High
CFTP_FILELIST_TC_011,File List Actions,Verify canceling editing the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Edit""
3. Edit the content of uploaded file-> Click on CANCEL button",N/A,"1. ""Option list"" appears
2. ""Edit file"" form appears with the editable content
3. The file is closed",Medium
CFTP_FILELIST_TC_012,File List Actions,Verify share (public) the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (public)""
3. Click on COPY then OK button
4. Paste the URL on the browser",N/A,"1. ""Option list"" appears
2. ""Share"" form appears with content:""Anyone with the following link can access the file: File"" and Copy button
3. The file is closed
4. The file is downloaded now",High
CFTP_FILELIST_TC_013,File List Actions,Verify share (public) the uploaded file which is already shared,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (public)""
3. Click on OK button
4. Paste the URL on the browser",N/A,"1. ""Option list"" appears
2. ""Share(s) already exist"" form appears with confirm message: ""The shares, FileName, already exist. Do you want to overwrite them?""
3. ""Share"" form appears with content:""Anyone with the following link can access the file: File"" and Copy button
4. The file is downloaded now",High
CFTP_FILELIST_TC_014,File List Actions,Verify canceling share (public) the uploaded file which is already shared,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (public)""
3. Click on CANCEL button",N/A,"1. ""Option list"" appears
2. ""Share(s) already exist"" form appears with confirm message: ""The shares, FileName, already exist. Do you want to overwrite them?""
3. ""Share(s) already exist"" form closes",Medium
CFTP_FILELIST_TC_015,File List Actions,Verify share (password) the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (password)""
3. Enter the Password ->Click on SHARE button
4. Click on COPY then OK button
5. Paste the URL on the browser",Password: Share@2026,"1. ""Option list"" appears
2. ""Share (password)"" form appears with only a Password field (no Confirm password field)
3. ""Share"" form appears with content:""Anyone with the following link can access the file: File"" and Copy button
4. The file is closed
5. The file is downloaded now with required password",Critical
CFTP_FILELIST_TC_016,File List Actions,Verify canceling share (password) the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (password)""
3. Enter the Password ->Click on CANCEL button",Password: Share@2026,"1. ""Option list"" appears
2. ""Share (password)"" form appears with only a Password field (no Confirm password field)
3. ""Share"" form appears with content:""Anyone with the following link can access the file: File"" and Copy button",Medium
CFTP_FILELIST_TC_017,File List Actions,Verify share (password) the uploaded file with invalid password,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Share (password)""
3. Enter the Password with password has less than 4 characters ->Click on SHARE button","Password: ab1 (only 3 characters, below the 4-character minimum)","1. ""Option list"" appears
2. ""Share (password)"" form appears with only a Password field (no Confirm password field)
3. Error message shows: ""Password must be at least 4 characters and may not start or end with a space""",Critical
CFTP_FILELIST_TC_018,File List Actions,Verify delete the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Delete""
3. Click on DELETE button",N/A,"1. ""Option list"" appears
2. ""Confirm"" form appears with confirm message: ""Are you sure to delete FileName?""
3. The file is deleted",Critical
CFTP_FILELIST_TC_019,File List Actions,Verify canceling delete the uploaded file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser,"1. Right click on the uploaded file
2. Click on ""Delete""
3. Click on CANCEL button",N/A,"1. ""Option list"" appears
2. ""Confirm"" form appears with confirm message: ""Are you sure to delete FileName?""
3. The file is not deleted",Medium
CFTP_BREADCRUMB_TC_001,Breadcrumb,Verify log out by using the icon in the breadcrumb bar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Login icon in the top right of the page->Select ""Log out""
2. Click on LOG OUT button",N/A,"1. ""Log out"" form appears with confirm message: ""Are you sure you want to log out?""
2. Log in form appears",Low
CFTP_BREADCRUMB_TC_002,Breadcrumb,Verify canceling log out by using the icon in the breadcrumb bar,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method,"1. Click on Login icon in the top right of the page->Select ""Log out""
2. Click on CANCEL button",N/A,"1. ""Log out"" form appears with confirm message: ""Are you sure you want to log out?""
2. User is still on session",Medium
CFTP_BREADCRUMB_TC_003,Breadcrumb,Verify changing language by using the icon in the breadcrumb bar,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login as HTTPS method
- Files are shown as list","1. Click on Language icon in the top right of the page
2. Select the Language",N/A,"1. List of language appears
2. The ""Name"", ""Size"", ""Date"" will be changed to the selected language",Low
CFTP_BREADCRUMB_TC_004,Breadcrumb,Verify navigating back to the previous folder using the Back icon,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; A folder named ""Shares"" exists at the Home root","1. Double click on the ""Shares"" folder to open it
2. Click on the Back icon in the top left of the page",N/A,"1. Breadcrumb shows ""Shares""
2. Breadcrumb returns to ""Home"" and the Back icon becomes disabled",High
CFTP_BREADCRUMB_TC_005,Breadcrumb,Verify the Back icon is disabled when there is no previous folder in navigation history,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Just logged in with no prior folder navigation,1. Check the state of the Back icon in the top left of the page,N/A,1. The Back icon is disabled and cannot be clicked,Medium
CFTP_BREADCRUMB_TC_006,Breadcrumb,Verify navigating forward to the next folder using the Forward icon,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; A folder named ""Shares"" exists at the Home root","1. Double click on the ""Shares"" folder to open it
2. Click on the Back icon to return to ""Home""
3. Click on the Forward icon in the top left of the page",N/A,"1. Breadcrumb shows ""Shares""
2. Breadcrumb returns to ""Home"" and the Forward icon becomes enabled
3. Breadcrumb shows ""Shares"" again",High
CFTP_BREADCRUMB_TC_007,Breadcrumb,Verify the Forward icon is disabled when there is no forward navigation history,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Just logged in with no prior Back navigation performed,1. Check the state of the Forward icon in the top left of the page,N/A,1. The Forward icon is disabled and cannot be clicked,Medium
CFTP_BREADCRUMB_TC_008,Breadcrumb,Verify navigating to the parent folder using the Up icon,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; A folder named ""Shares"" exists at the Home root","1. Double click on the ""Shares"" folder to open it
2. Click on the Up icon in the top left of the page",N/A,"1. Breadcrumb shows ""Shares""
2. Breadcrumb returns to ""Home"" (the parent folder) and the Up icon becomes disabled",High
CFTP_BREADCRUMB_TC_009,Breadcrumb,Verify the Up icon is disabled at the Home root folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Currently at the Home root folder,1. Check the state of the Up icon in the top left of the page,N/A,1. The Up icon is disabled and cannot be clicked (Home has no parent folder),Medium
CFTP_BREADCRUMB_TC_010,Breadcrumb,Verify refreshing the file list using the Refresh icon,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; At least 1 file/folder exists at the Home root,1. Click on the Refresh icon in the top left of the page,N/A,"1. The file list reloads and shows the same files/folders with no duplicates and no error",Medium
CFTP_BREADCRUMB_TC_011,Breadcrumb,Verify switching to Compact view using the density view icon,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; The file list is currently shown in Comfortable view (default),1. Click on the density view icon (tooltip: ""Switch to compact view"") in the top right of the page,N/A,"1. Row height in the file list decreases and the icon tooltip changes to ""Switch to comfortable view""",Low
